timestamp,stage,price_before_j,price_before_c,dx_j,dx_c,dy_j,dy_c,x0_j,x1_j,x0_c,x1_c
1512063535,DIR1,397.9900158262854,None,None,None,None,None,150000000.0,376893.8918063268,None,None
1512063545,DIR2,397.9900158262854,397.9900052783654,2.464886052413377,2.464886052413377,980.9957454800606,980.9957455489348,150000000.0,376893.8918063268,150000000.0,376893.8918063268
1512063595,DIR2,397.9865553341894,397.9865546169013,6.949923364908666,6.949923364908666,2765.942195981741,2765.9421960594773,149999019.7890513,376896.3566923792,149999019.78905123,376896.3566923792
1512063605,DIR1,397.9768164924887,None,None,None,None,None,149996256.05961674,376903.30661574414,None,None
1512063655,DIR2,397.9768164924887,397.97682547915906,None,None,None,None,149996256.05961674,376903.30661574414,149996256.0596166,376903.3066157441
1512063665,DIR1,397.9768164924887,397.97682547915906,2607.0,2607.0,6.550557272101287,6.5505572719870315,149996256.05961674,376903.30661574414,149996256.0596166,376903.3066157441
1512063715,DIR1,None,397.98599553811613,None,3408.0,None,8.562986481686096,None,None,149998863.0596166,376896.7612989196
1512063715,DIR2,397.98600829920656,None,None,None,None,None,149998863.05961674,376896.7612989195,None,None
1512063725,DIR1,397.98600829920656,397.9979832580914,3408.0,3408.0,8.56298648135271,8.56272856596675,149998863.05961674,376896.7612989195,150002271.0596166,376888.20516283583
1512063775,DIR1,None,398.0099711704765,None,1101.0,None,2.7662489272082382,None,None,150005679.0596166,376879.6492845072
1512063775,DIR2,397.99799116822294,None,None,None,None,None,150002271.05961674,376888.20516283606,None,None
1512063785,DIR1,397.99799116822294,398.013844071326,1101.0,1101.0,2.7663322478183545,2.766222010088029,150002271.05961674,376888.20516283606,150006780.0596166,376876.8852486042
1512063835,DIR1,None,398.017716992017,None,2202.0,None,5.532363259479922,None,None,150007881.0596166,376874.1212396056
1512063835,DIR2,398.0018637038649,None,None,None,None,None,150003372.05961674,376885.4410436602,None,None
1512063845,DIR1,398.0018637038649,398.02546291843464,2199.0,2202.0,5.525046223949175,5.532255595257368,150003372.05961674,376885.4410436602,150010083.0596166,376868.5933023477
1512063895,DIR1,398.00959670687104,398.03320893771644,8916.0,8916.0,22.400587566720787,22.399258422942808,150005571.05961674,376879.92041750706,150012285.0596166,376863.06547272165
1512063905,DIR1,None,398.06457408362,None,8916.0,None,22.39749350435008,None,None,150021201.0596166,376840.6841356925
1512063905,DIR2,398.0409620941099,None,None,None,None,None,150014487.05961674,376857.5377513383,None,None
1512063955,DIR1,None,398.09594136090624,None,744.0,None,1.8688900981351537,None,None,150030117.0596166,376818.3045641922
1512063955,DIR2,398.0409620941099,None,None,None,None,None,150014487.05961674,376857.5377513383,None,None
1512063965,DIR1,398.0409620941099,398.0985589312333,744.0,744.0,1.869148270750884,1.8688778098616865,150014487.05961674,376857.5377513383,150030861.0596166,376816.4371695573
1512064015,DIR1,398.04356892659183,398.1011765119594,None,None,None,None,150015231.05961674,376855.67009847175,150031605.0596166,376814.569787218
1512064025,DIR1,None,398.1011765119594,None,None,None,None,None,None,150031605.0596166,376814.569787218
1512064025,DIR2,398.04356892659183,None,None,None,None,None,150015231.05961674,376855.67009847175,None,None
1512064075,DIR1,None,398.1011765119594,None,2244.0,None,5.636702180965642,None,None,150031605.0596166,376814.569787218
1512064075,DIR2,398.04356892659183,None,None,None,None,None,150015231.05961674,376855.67009847175,None,None
1512064085,DIR1,398.04356892659183,398.10907159201133,2244.0,2244.0,5.637517914583441,5.636590396912339,150015231.05961674,376855.67009847175,150033849.0596166,376808.9375956731
1512064135,DIR1,None,398.1169668395636,None,5478.0,None,13.759442262790742,None,None,150036093.0596166,376803.30551599734
1512064135,DIR2,398.05146033634907,None,None,None,None,None,150017475.05961674,376850.0370909112,None,None
1512064145,DIR1,398.05146033634907,398.1362412807426,5475.0,5478.0,13.754170068597887,13.75877614204876,150017475.05961674,376850.0370909112,150041571.0596166,376789.55708598025
1512064195,DIR1,None,398.1555168554021,None,1845.0,None,4.6338299943311085,None,None,150047049.0596166,376775.8093228686
1512064195,DIR2,398.0707182881661,None,None,None,None,None,150022950.05961674,376836.2939256082,None,None
1512064205,DIR1,398.0707182881661,398.1620091662596,1845.0,1845.0,4.634817009791732,4.63375443622968,150022950.05961674,376836.2939256082,150048894.0596166,376771.1792021239
1512064255,DIR1,398.0772118107581,398.1685016227606,8808.0,8811.0,22.125499221961945,22.127960620028887,150024795.05961674,376831.66281701426,150050739.0596166,376766.54915704485
1512064265,DIR1,None,398.19950911467305,None,8811.0,None,22.126237499773083,None,None,150059550.0596166,376744.43891427584
1512064265,DIR2,398.10820039155175,None,None,None,None,None,150033603.05961674,376809.555023122,None,None
1512064315,DIR1,None,398.23052026449164,None,1056.0,None,2.651718113419861,None,None,150068361.0596166,376722.330398166
1512064315,DIR2,398.10820039155175,None,None,None,None,None,150033603.05961674,376809.555023122,None,None
1512064325,DIR1,398.10820039155175,398.2342372171158,1056.0,1056.0,2.6525328248389997,2.6516933632916846,150033603.05961674,376809.555023122,150069417.0596166,376719.6808039478
1512064375,DIR1,None,398.2379542271062,None,282.0,None,0.7081184732842871,None,None,150070473.0596166,376717.0312345371
1512064375,DIR2,398.1119151632343,None,None,None,None,None,150034659.05961674,376806.9046129521,None,None
1512064385,DIR1,398.1119151632343,398.23894684813575,282.0,282.0,0.7083426468889229,0.7081167082779984,150034659.05961674,376806.9046129521,150070755.0596166,376716.3236832579
1512064435,DIR1,None,398.2399394726111,None,909.0,None,2.282534394038322,None,None,150071037.0596166,376715.6161337479
1512064435,DIR2,398.112908445886,None,None,None,None,None,150034941.05961674,376806.19683714997,None,None
1512064445,DIR1,398.112908445886,398.24313913973623,909.0,909.0,2.2832626832532696,2.2825160550860915,150034941.05961674,376806.19683714997,150071946.0596166,376713.33542771207
1512064495,DIR1,398.11611589089256,398.2463388492619,1452.0,1452.0,3.6471538228797726,3.6459611962945075,150035850.05961674,376803.91540165583,150072855.0596166,376711.0547400597
1512064505,DIR1,None,398.25145002369305,None,1452.0,None,3.6459144036385,None,None,150074307.0596166,376707.41169960354
1512064505,DIR2,398.12122699826284,None,None,None,None,None,150037302.05961674,376800.27116655733,None,None
1512064555,DIR1,398.12122699826284,398.25656131880305,414.0,414.0,1.039882393204607,1.0395290069529324,150037302.05961674,376800.27116655733,150075759.0596166,376703.76870605926
1512064565,DIR1,None,398.2580186921756,None,414.0,None,1.0395252029260291,None,None,150076173.0596166,376702.7300098653
1512064565,DIR2,398.1226754767441,None,None,None,None,None,150037716.05961674,376799.2321163619,None,None
1512064615,DIR1,398.1226754767441,398.259476077717,780.0,780.0,1.9591883742832579,1.9585154083509906,150037716.05961674,376799.2321163619,150076587.0596166,376701.6913174853
1512064625,DIR1,None,398.2622218935862,None,780.0,None,1.9585019053211283,None,None,150077367.0596166,376699.7343712017
1512064625,DIR2,398.12541869629587,None,None,None,None,None,150038496.05961674,376797.2744959112,None,None
1512064675,DIR1,None,398.2649677488206,None,441.0,None,1.1073008717508799,None,None,150078147.0596166,376697.7774384572
1512064675,DIR2,398.12541869629587,None,None,None,None,None,150038496.05961674,376797.2744959112,None,None
1512064685,DIR1,398.12541869629587,398.26652022589354,438.0,441.0,1.1001537049887702,1.1072965553835843,150038496.05961674,376797.2744959112,150078588.0596166,376696.67102477513
1512064735,DIR1,398.12695639195107,398.2680727180755,618.0,618.0,1.5522644222946838,1.5517144403219731,150038934.05961674,376796.1752226582,150079029.0596166,376695.5646154212
1512064745,DIR1,None,398.2702483382169,None,618.0,None,1.5517059638026183,None,None,150079647.0596166,376694.014144294
1512064745,DIR2,398.1291399401907,None,None,None,None,None,150039552.05961674,376794.62420052657,None,None
1512064795,DIR1,398.1291399401907,398.2724239731114,3297.0,3300.0,8.281112037366256,8.285665026233204,150039552.05961674,376794.62420052657,150080265.0596166,376692.46368166694
1512064805,DIR1,None,398.2840418478573,None,3300.0,None,8.285423331660809,None,None,150083565.0596166,376684.1846565856
1512064805,DIR2,398.14074390190353,None,None,None,None,None,150042849.05961674,376786.34971637884,None,None
1512064855,DIR1,398.14074390190353,398.29566037487547,657.0,657.0,1.6501654757303186,1.649523621424322,150042849.05961674,376786.34971637884,150086865.0596166,376675.9058739241
1512064865,DIR1,None,398.2979736000775,None,657.0,None,1.649514041346066,None,None,150087522.0596166,376674.2576724138
1512064865,DIR2,398.14303832481147,None,None,None,None,None,150043506.05961674,376784.70087165176,None,None
1512064915,DIR1,None,398.30028684764034,None,4830.0,None,12.126270226895429,None,None,150088179.0596166,376672.60948051343
1512064915,DIR2,398.14303832481147,None,None,None,None,None,150043506.05961674,376784.70087165176,None,None
1512064925,DIR1,398.14303832481147,398.31729376128965,4827.0,4830.0,12.123524612223264,12.12575246093914,150043506.05961674,376784.70087165176,150093009.0596166,376660.49293199304
1512064975,DIR1,None,398.3343021829674,None,2418.0,None,6.070213294985933,None,None,150097839.0596166,376648.37690302706
1512064975,DIR2,398.1600289495601,None,None,None,None,None,150048333.05961674,376772.5870514473,None,None
1512064985,DIR1,398.1600289495601,398.342817547994,2418.0,2418.0,6.072870134143159,6.070083530523618,150048333.05961674,376772.5870514473,150100257.0596166,376642.311557936
1512065035,DIR1,None,398.3513333161889,None,1308.0,None,3.283514681321293,None,None,150102675.0596166,376636.24634309247
1512065035,DIR2,398.16853403388455,None,None,None,None,None,150050751.05961674,376766.51904269535,None,None
1512065045,DIR1,398.16853403388455,398.35594003194717,1308.0,1308.0,3.2850220701657236,3.283476709445665,150050751.05961674,376766.51904269535,150103983.0596166,376632.96546222444
1512065095,DIR1,None,398.36054686327554,None,570.0,None,1.430861000617199,None,None,150105291.0596166,376629.684619475
1512065095,DIR2,398.1731481557092,None,None,None,None,None,150052059.05961674,376763.23665039934,None,None
1512065105,DIR1,398.1731481557092,398.36255446809315,570.0,570.0,1.431534436531365,1.4308537895701932,150052059.05961674,376763.23665039934,150105861.0596166,376628.25490632537
1512065155,DIR1,398.1751630224503,398.36456209314616,2121.0,2124.0,5.326751624175813,5.331749554049452,150052629.05961674,376761.80626197264,150106431.0596166,376626.82520041516
1512065165,DIR1,None,398.37204335335764,None,2124.0,None,5.3316494247882815,None,None,150108555.0596166,376621.49772865104
1512065165,DIR2,398.18261359230576,None,None,None,None,None,150054750.05961674,376756.48377489997,None,None
1512065215,DIR1,None,398.37952493817295,None,1050.0,None,2.6356654197075784,None,None,150110679.0596166,376616.17035742523
1512065215,DIR2,398.18261359230576,None,None,None,None,None,150054750.05961674,376756.48377489997,None,None
1512065225,DIR1,398.18261359230576,398.38322359093775,1050.0,1050.0,2.636968808248639,2.635640949642834,150054750.05961674,376756.48377489997,150111729.0596166,376613.53680702596
1512065275,DIR1,398.18630514226993,398.3869223229069,1044.0,1044.0,2.621876153629273,2.6205558834313933,150055800.05961674,376753.8489172866,150112779.0596166,376610.9032811996
1512065285,DIR1,None,398.39059999725686,None,1044.0,None,2.620531692038412,None,None,150113823.0596166,376608.28482845565
1512065285,DIR2,398.1899844551751,None,None,None,None,None,150056844.05961674,376751.2291403053,None,None
1512065335,DIR1,None,398.39427775454453,None,2229.0,None,5.594904792655086,None,None,150114867.0596166,376605.66640000703
1512065335,DIR2,398.1899844551751,None,None,None,None,None,150056844.05961674,376751.2291403053,None,None
1512065345,DIR1,398.1899844551751,398.40213026672615,2229.0,2229.0,5.597775293746963,5.594794515422592,150056844.05961674,376751.2291403053,150117096.0596166,376600.07598626515
1512065395,DIR1,398.1978232181045,398.40998315764097,1722.0,1722.0,4.324450768879615,4.322147986522822,150059073.05961674,376745.6358470856,150119325.0596166,376594.48568329297
1512065405,DIR1,None,398.41605013014737,None,1722.0,None,4.32208216923928,None,None,150121047.0596166,376590.16700551193
1512065405,DIR2,398.2038809350822,None,None,None,None,None,150060795.05961674,376741.3148590306,None,None
1512065455,DIR1,None,398.42211734457965,None,2616.0,None,6.565824658673392,None,None,150122769.0596166,376585.8483938529
1512065455,DIR2,398.2038809350822,None,None,None,None,None,150060795.05961674,376741.3148590306,None,None
1512065465,DIR1,398.2038809350822,398.4313348837391,2613.0,2616.0,6.5618892993661575,6.565672758227066,150060795.05961674,376741.3148590306,150125385.0596166,376579.2878422063
1512065515,DIR1,None,398.44055298476854,None,4119.0,None,10.337614903451453,None,None,150128001.0596166,376572.72744319565
1512065515,DIR2,398.2130893870953,None,None,None,None,None,150063408.05961674,376734.7582244475,None,None
1512065525,DIR1,398.2130893870953,398.4550684259569,4113.0,4119.0,10.328453278285451,10.33723829941485,150063408.05961674,376734.7582244475,150132120.0596166,376562.39813396055
1512065575,DIR1,398.2275597930601,398.46958532191854,432.0,432.0,1.0848048203042708,1.084145932217723,150067521.05961674,376724.4380432214,150136239.0596166,376552.06920327776
1512065585,DIR1,None,398.4711079270481,None,432.0,None,1.084141789527763,None,None,150136671.0596166,376550.9859286545
1512065585,DIR2,398.2290952008439,None,None,None,None,None,150067953.05961674,376723.3541072332,None,None
1512065635,DIR1,398.2290952008439,398.4726305603608,129.0,129.0,0.32393396960105747,0.32373598131982817,150067953.05961674,376723.3541072332,150137103.0596166,376549.9026581959
1512065645,DIR1,None,398.473085246189,None,129.0,None,0.323735611920398,None,None,150137232.0596166,376549.5791824052
1512065645,DIR2,398.2295382866542,None,None,None,None,None,150068082.05961674,376723.03043270693,None,None
1512065695,DIR1,398.2295382866542,398.4735399210206,1755.0,1758.0,4.406971953867469,4.411801971877395,150068082.05961674,376723.03043270693,150137361.0596166,376549.25570698595
1512065705,DIR1,None,398.479736396022,None,1758.0,None,4.4117333661130544,None,None,150139119.0596166,376544.84745128825
1512065705,DIR2,398.23570466652353,None,None,None,None,None,150069837.05961674,376718.62699057074,None,None
1512065755,DIR1,398.23570466652353,398.48593314046633,2010.0,2013.0,5.047217229148373,5.051576302847053,150069837.05961674,376718.62699057074,150140877.0596166,376540.43926456885
1512065765,DIR1,None,398.4930290805827,None,2013.0,None,5.051486348254315,None,None,150142890.0596166,376535.3917498587
1512065765,DIR2,398.2427790071791,None,None,None,None,None,150071847.05961674,376713.583816255,None,None
1512065815,DIR1,398.2427790071791,398.5001253877623,2589.0,2592.0,6.500984977756161,6.504314903967668,150071847.05961674,376713.583816255,150144903.0596166,376530.3443256072
1512065825,DIR1,None,398.50926335786335,None,2592.0,None,6.504165754118674,None,None,150147495.0596166,376523.84524204675
1512065825,DIR2,398.2519154023038,None,None,None,None,None,150074436.05961674,376707.0880391708,None,None
1512065875,DIR1,None,398.5184019516857,None,2583.0,None,6.481433467955185,None,None,150150087.0596166,376517.34630850423
1512065875,DIR2,398.2519154023038,None,None,None,None,None,150074436.05961674,376707.0880391708,None,None
1512065885,DIR1,398.2519154023038,398.5275094565457,2580.0,2583.0,6.478237963921856,6.481285344994575,150074436.05961674,376707.0880391708,150152670.0596166,376510.8700899591
1512065935,DIR1,398.2609937446275,398.53661759888917,2004.0,2007.0,5.031831737025641,5.0358790392202195,150077016.05961674,376700.6149913771,150155253.0596166,376504.3940204328
1512065945,DIR1,None,398.5436951106014,None,2007.0,None,5.035789608208944,None,None,150157260.0596166,376499.36219464237
1512065945,DIR2,398.26804744071575,None,None,None,None,None,150079020.05961674,376695.5871913032,None,None
1512065995,DIR1,None,398.55077301966503,None,3480.0,None,8.731500923006138,None,None,150159267.0596166,376494.3304588408
1512065995,DIR2,398.26804744071575,None,None,None,None,None,150079020.05961674,376695.5871913032,None,None
1512066005,DIR1,398.26804744071575,398.5630465781283,3474.0,3480.0,8.722634827892762,8.73123203129515,150079020.05961674,376695.5871913032,150162747.0596166,376485.60598869564
1512066055,DIR1,398.2802750547305,398.5753213711595,5778.0,5784.0,14.507001425721683,14.51131484002488,150082494.05961674,376686.87154629215,150166227.0596166,376476.8817891933
1512066065,DIR1,None,398.5957256910629,None,5784.0,None,14.510571952601822,None,None,150172011.0596166,376462.38216801087
1512066065,DIR2,398.3006263251624,None,None,None,None,None,150088272.05961674,376672.3761727641,None,None
1512066115,DIR1,None,398.61613357393713,None,1098.0,None,2.754516397504773,None,None,150177795.0596166,376447.88329489477
1512066115,DIR2,398.3006263251624,None,None,None,None,None,150088272.05961674,376672.3761727641,None,None
1512066125,DIR1,398.3006263251624,398.620008099643,1095.0,1098.0,2.7491665174020454,2.754489623724737,150088272.05961674,376672.3761727641,150178893.0596166,376445.1309994788
1512066175,DIR1,None,398.6238827548648,None,2274.0,None,5.704568216213943,None,None,150179991.0596166,376442.3787310286
1512066175,DIR2,398.3044678146171,None,None,None,None,None,150089367.05961674,376669.6292099105,None,None
1512066185,DIR1,398.3044678146171,398.6319077400179,2271.0,2274.0,5.701611197844613,5.704453372814072,150089367.05961674,376669.6292099105,150182265.0596166,376436.67876380373
1512066235,DIR1,None,398.63993329820966,None,3414.0,None,8.563990063248895,None,None,150184539.0596166,376430.97891226585
1512066235,DIR2,398.31247731218735,None,None,None,None,None,150091638.05961674,376663.93216944515,None,None
1512066245,DIR1,398.31247731218735,398.65198332508555,3408.0,3414.0,8.555967931693885,8.563731189681732,150091638.05961674,376663.93216944515,150187953.0596166,376422.4218329949
1512066295,DIR1,398.32447369181295,398.6640346872797,8826.0,8838.0,22.156950892182067,22.16817510131247,150095046.05961674,376655.3830615323,150191367.0596166,376413.86501457007
1512066305,DIR1,None,398.69523903504063,None,8838.0,None,22.16643988949457,None,None,150200205.0596166,376391.7147490255
1512066305,DIR2,398.3555531244913,None,None,None,None,None,150103872.05961674,376633.2438833488,None,None
1512066355,DIR1,398.3555531244913,398.72645284084075,1605.0,1608.0,4.029035450017545,4.032811347106929,150103872.05961674,376633.2438833488,150209043.0596166,376369.5662330552
1512066365,DIR1,None,398.7321329822501,None,1608.0,None,4.032753896471661,None,None,150210651.0596166,376365.5366831982
1512066365,DIR2,398.3612122890253,None,None,None,None,None,150105477.05961674,376629.21807996696,None,None
1512066415,DIR1,398.3612122890253,398.7378134436557,4590.0,4596.0,11.521972681221087,11.526136453845936,150105477.05961674,376629.21807996696,150212259.0596166,376361.50719128444
1512066425,DIR1,None,398.7540512207434,None,4596.0,None,11.5256670649093,None,None,150216855.0596166,376349.99038247194
1512066425,DIR2,398.37736242125493,None,None,None,None,None,150110067.05961674,376617.70535239065,None,None
1512066475,DIR1,398.37736242125493,398.7702917334996,4638.0,4647.0,11.64198893221328,11.653085573882379,150110067.05961674,376617.70535239065,150221451.0596166,376338.4740472317
1512066485,DIR1,None,398.786715292842,None,4647.0,None,11.652605622697706,None,None,150226098.0596166,376326.8304014101
1512066485,DIR2,398.3937109525874,None,None,None,None,None,150114705.05961674,376606.07270725496,None,None
1512066535,DIR1,None,398.8031417660761,None,225.0,None,0.5641875776715324,None,None,150230745.0596166,376315.1872400113
1512066535,DIR2,398.3937109525874,None,None,None,None,None,150114705.05961674,376606.07270725496,None,None
1512066545,DIR1,398.3937109525874,398.8039371793822,225.0,225.0,0.5647674022475258,0.5641864523921356,150114705.05961674,376606.07270725496,150230970.0596166,376314.6235097088
1512066595,DIR1,None,398.8047326049019,None,453.0,None,1.1358919768810836,None,None,150231195.0596166,376314.05978054216
1512066595,DIR2,398.39449931274106,None,None,None,None,None,150114930.05961674,376605.50839313766,None,None
1512066605,DIR1,398.39449931274106,398.80633407477586,453.0,453.0,1.1370616278727539,1.1358874154832677,150114930.05961674,376605.50839313766,150231648.0596166,376312.92480927793
1512066655,DIR1,None,398.8079355846343,None,138.0,None,0.3460310216468656,None,None,150232101.0596166,376311.78984261834
1512066655,DIR2,398.3961037584715,None,None,None,None,None,150115383.05961674,376604.3722441441,None,None
1512066665,DIR1,398.3961037584715,398.80842345946616,138.0,138.0,0.3463887298712507,0.3460305983304295,150115383.05961674,376604.3722441441,150232239.0596166,376311.4440920955
1512066715,DIR1,None,398.80891134603934,None,264.0,None,0.6619703997356225,None,None,150232377.0596166,376311.0983419999
1512066715,DIR2,398.39657185255925,None,None,None,None,None,150115521.05961674,376604.0261334367,None,None
1512066725,DIR1,398.39657185255925,398.80984469831316,264.0,264.0,0.6626555230468512,0.6619688504961516,150115521.05961674,376604.0261334367,150232641.0596166,376310.43690822925
1512066775,DIR1,398.39751112361915,398.81077805495573,None,None,None,None,150115785.05961674,376603.36400978983,150232905.0596166,376309.77547602257
1512066785,DIR1,None,399.0112361632825,None,None,None,None,None,None,150232905.0596166,376309.77547602257
1512066785,DIR2,398.39751112361915,None,None,None,None,None,150115785.05961674,376603.36400978983,None,None
1512066835,DIR1,398.39751112361915,399.0112361632825,186.0,186.0,0.4668700078618713,0.46615190925820116,150115785.05961674,376603.36400978983,150232905.0596166,376309.77547602257
1512066845,DIR1,None,399.0118919724066,None,186.0,None,0.4661511430937537,None,None,150233091.0596166,376309.30969837034
1512066845,DIR2,398.39816091700976,None,None,None,None,None,150115971.05961674,376602.89751451614,None,None
1512066895,DIR1,None,399.0125477867032,None,1134.0,None,2.8420016797000187,None,None,150233277.0596166,376308.8439214878
1512066895,DIR2,398.39816091700976,None,None,None,None,None,150115971.05961674,376602.89751451614,None,None
1512066905,DIR1,398.39816091700976,399.01654620394805,1134.0,1134.0,2.8463843992212787,2.8419732006768754,150115971.05961674,376602.89751451614,150234411.0596166,376306.00420173095
1512066955,DIR1,None,399.02054472546286,None,2436.0,None,6.104883155844561,None,None,150235545.0596166,376303.1645105856
1512066955,DIR2,398.4021644301582,None,None,None,None,None,150117105.05961674,376600.05341492133,None,None
1512066965,DIR1,398.4021644301582,399.0291344933143,2433.0,2436.0,6.106828932242934,6.1047517357408765,150117105.05961674,376600.05341492133,150237981.0596166,376297.0645302729
1512067015,DIR1,398.4107322186406,399.03772474715737,12690.0,12702.0,31.849764006503392,31.82978990101077,150119538.05961674,376593.95148865867,150240417.0596166,376290.96468201635
1512067025,DIR1,None,399.08252496417447,None,12705.0,None,31.83373277801408,None,None,150253119.0596166,376259.1604799145
1512067025,DIR2,398.45545577342693,None,None,None,None,None,150132228.05961674,376562.12731425767,None,None
1512067075,DIR1,None,399.12735027513617,None,327.0,None,0.8192862033413633,None,None,150265824.0596166,376227.35236148944
1512067075,DIR2,398.45545577342693,None,None,None,None,None,150132228.05961674,376562.12731425767,None,None
1512067085,DIR1,398.45545577342693,399.12850418565193,327.0,327.0,0.8206677359412424,0.8192838347157192,150132228.05961674,376562.12731425767,150266151.0596166,376226.5337345237
1512067135,DIR1,None,399.129658110386,None,561.0,None,1.4055548221288916,None,None,150266478.0596166,376225.71510994085
1512067135,DIR2,398.4565955544306,None,None,None,None,None,150132555.05961674,376561.30730589875,None,None
1512067145,DIR1,398.4565955544306,399.1316377991771,561.0,561.0,1.4079290268127806,1.405547850561618,150132555.05961674,376561.30730589875,150267039.0596166,376224.3106861722
1512067195,DIR1,398.4585824855555,399.1336175166624,603.0,603.0,1.5133276877459139,1.5107682577215655,150133116.05961674,376559.90050813364,150267600.0596166,376222.9062694176
1512067205,DIR1,None,399.1357454817565,None,603.0,None,1.5107602031145575,None,None,150268203.0596166,376221.3967169862
